Date,signal,Settle,MA,Upper Band,Lower Band,Short Position Stop,Long Position Stop
2017-11-28,0.0,93.213,93.95825000000016,95.30733189150132,92.609168108499,95.03442000000001,91.2723
2017-11-29,0.0,93.107,93.87815000000016,95.22965216795123,92.5266478320491,95.03442000000001,91.2723
2017-11-30,0.0,93.002,93.79885000000016,95.16052342265941,92.4371765773409,95.03442000000001,91.2723
2017-12-01,0.0,92.841,93.69800000000016,95.02939295475721,92.36660704524311,95.03442000000001,91.2723
2017-12-04,0.0,93.144,93.62235000000017,94.8979528025907,92.34674719740964,95.03442000000001,91.2723
2017-12-05,0.0,93.334,93.54905000000016,94.70876039056193,92.3893396094384,95.03442000000001,91.2723
2017-12-06,0.0,93.582,93.48975000000016,94.50656441275059,92.47293558724972,95.03442000000001,91.2723
2017-12-07,0.0,93.769,93.46060000000016,94.40791924923826,92.51328075076205,95.03442000000001,91.2723
2017-12-08,0.0,93.874,93.44040000000015,94.33277489878266,92.54802510121765,95.03442000000001,91.2723
2017-12-11,0.0,93.843,93.41315000000017,94.21701000645473,92.60928999354562,95.03442000000001,91.2723
2017-12-12,0.0,94.08,93.43100000000017,94.2763713976575,92.58562860234284,95.03442000000001,91.2723
2017-12-13,0.0,93.419,93.41565000000017,94.25011636240019,92.58118363760015,95.03442000000001,91.2723
2017-12-14,0.0,93.479,93.39690000000016,94.20764062435369,92.58615937564663,95.03442000000001,91.2723
2017-12-15,0.0,93.929,93.41460000000016,94.25503403071116,92.57416596928917,95.03442000000001,91.2723
2017-12-18,0.0,93.239,93.37670000000017,94.17602023618663,92.57737976381371,95.03442000000001,91.2723
2017-12-19,0.0,93.027,93.33420000000017,94.1127151507694,92.55568484923093,95.03442000000001,91.2723
2017-12-20,0.0,92.891,93.32200000000017,94.1200223054386,92.52397769456175,95.03442000000001,91.2723
2017-12-21,0.0,92.862,93.30835000000017,94.12775253232314,92.4889474676772,95.03442000000001,91.2723
2017-12-22,0.0,92.924,93.31920000000018,94.111771914704,92.52662808529637,95.03442000000001,91.2723
2017-12-26,0.0,92.801,93.31800000000018,94.11362805378994,92.52237194621043,95.03442000000001,91.2723
2017-12-27,0.0,92.612,93.28795000000018,94.14053089937414,92.43536910062622,95.03442000000001,91.2723
2017-12-28,0.0,92.3,93.24760000000018,94.20103702465225,92.2941629753481,95.03442000000001,91.2723
2017-12-29,1.0,91.826,93.18880000000019,94.32340911329757,92.0541908867028,95.03442000000001,89.98948
2018-01-02,0.0,91.573,93.1254000000002,94.45552351305362,91.79527648694678,95.03442000000001,89.98948
2018-01-03,0.0,91.896,93.06300000000019,94.49683025493893,91.62916974506145,95.03442000000001,89.98948
2018-01-04,0.0,91.581,92.97535000000019,94.54050676849906,91.41019323150132,95.03442000000001,89.98948
2018-01-05,0.0,91.673,92.87990000000018,94.51663185341356,91.2431681465868,95.03442000000001,89.98948
2018-01-08,0.0,92.1,92.79645000000018,94.41341771457525,91.17948228542511,95.03442000000001,89.98948
2018-01-09,0.0,92.26,92.71575000000017,94.26941262424594,91.1620873757544,95.03442000000001,89.98948
2018-01-10,0.0,92.07,92.62710000000017,94.11427596806125,91.13992403193909,95.03442000000001,89.98948
2018-01-11,0.0,91.608,92.50350000000017,93.89494306386538,91.11205693613496,95.03442000000001,89.98948
2018-01-12,0.0,90.735,92.36930000000015,93.89309973749155,90.84550026250875,95.03442000000001,89.98948
2018-01-15,0.0,90.735,92.23210000000014,93.82413352979124,90.64006647020905,95.03442000000001,89.98948
2018-01-16,0.0,90.146,92.04295000000015,93.68183028543265,90.40406971456764,95.03442000000001,89.98948
2018-01-17,0.0,90.313,91.89665000000015,93.60332867801179,90.18997132198851,95.03442000000001,89.98948
2018-01-18,0.0,90.297,91.76015000000015,93.51925798701511,90.0010420129852,95.03442000000001,89.98948
2018-01-19,0.0,90.37,91.63410000000015,93.41220167312798,89.85599832687231,95.03442000000001,89.98948
2018-01-22,0.0,90.191,91.50055000000015,93.29087482806354,89.71022517193676,95.03442000000001,89.98948
2018-01-23,-1.0,89.915,91.35010000000014,93.14238177471651,89.55781822528377,95.03442000000001,89.98948
2018-01-24,0.0,89.011,91.16060000000014,93.0949961745158,89.22620382548449,95.03442000000001,89.98948
2018-01-25,0.0,89.227,90.99135000000015,92.97975531833468,89.00294468166562,95.03442000000001,89.98948
2018-01-26,0.0,88.891,90.82090000000015,92.91310552527278,88.72869447472752,95.03442000000001,89.98948
2018-01-29,0.0,89.131,90.68615000000015,92.8480475253194,88.5242524746809,95.03442000000001,89.98948
2018-01-30,0.0,88.999,90.55745000000016,92.7978831255323,88.31701687446802,95.03442000000001,89.98948
2018-01-31,0.0,88.954,90.41035000000015,92.66619886683098,88.15450113316932,95.03442000000001,89.98948
2018-02-01,0.0,88.505,90.25655000000016,92.59026459051508,87.92283540948524,95.03442000000001,89.98948
2018-02-02,0.0,89.036,90.12470000000016,92.4210815972053,87.82831840279502,95.03442000000001,89.98948
2018-02-05,0.0,89.405,89.98995000000016,92.11691257371476,87.86298742628557,95.03442000000001,89.98948
2018-02-06,0.0,89.451,89.84950000000018,91.71297336980798,87.98602663019237,95.03442000000001,89.98948
2018-02-07,0.0,90.118,89.75190000000018,91.32120696805424,88.18259303194611,95.03442000000001,89.98948
2018-02-08,0.0,90.116,89.67730000000017,91.01070017998484,88.34389982001551,95.03442000000001,89.98948
2018-02-09,0.0,90.334,89.65725000000018,90.93742699947454,88.37707300052581,95.03442000000001,89.98948
2018-02-12,0.0,90.096,89.62530000000018,90.82570044984317,88.42489955015719,95.03442000000001,89.98948
2018-02-13,0.0,89.592,89.5976000000002,90.77398775919497,88.42121224080543,95.03442000000001,89.98948
2018-02-14,0.0,89.005,89.53220000000019,90.68747271238605,88.37692728761432,95.03442000000001,89.98948
2018-02-15,0.0,88.505,89.4426000000002,90.62437263464003,88.26082736536037,95.03442000000001,89.98948
2018-02-16,0.0,89.013,89.3747500000002,90.4896801099101,88.25981989009031,95.03442000000001,89.98948
2018-02-19,0.0,89.013,89.3158500000002,90.37514793258752,88.25655206741287,95.03442000000001,89.98948
2018-02-20,0.0,89.636,89.30190000000019,90.33632581173528,88.2674741882651,95.03442000000001,89.98948
2018-02-21,0.0,89.913,89.3470000000002,90.40514214545311,88.28885785454727,95.03442000000001,89.98948
2018-02-22,0.0,89.656,89.3684500000002,90.43336341900837,88.30353658099202,95.03442000000001,89.98948
2018-02-23,0.0,89.808,89.41430000000018,90.47197709627466,88.35662290372571,95.03442000000001,89.98948
2018-02-26,0.0,89.79,89.44725000000018,90.50862474531097,88.3858752546894,95.03442000000001,89.98948
2018-02-27,0.0,90.28,89.51130000000018,90.61067056536176,88.4119294346386,95.03442000000001,89.98948
2018-02-28,0.0,90.551,89.59115000000017,90.74751936572346,88.43478063427688,95.03442000000001,89.98948
2018-03-01,0.0,90.281,89.67995000000016,90.75924726673585,88.60065273326447,95.03442000000001,89.98948
2018-03-02,0.0,89.906,89.72345000000016,90.76489082404301,88.6820091759573,95.03442000000001,89.98948
2018-03-05,0.0,90.041,89.75525000000016,90.79469194161258,88.71580805838774,95.03442000000001,89.98948
2018-03-06,0.0,89.59,89.76220000000015,90.79525093774862,88.72914906225168,95.03442000000001,89.98948
