Date,Index
19990729,12605.34
19990730,13079.30
19990802,12485.50
19990803,11797.55
19990804,12062.99
19990805,11991.82
19990806,12575.82
19990809,12712.90
19990810,12790.45
19990811,11884.88
19990812,11603.21
19990813,10905.86
19990816,10416.18
19990817,10407.85
19990818,11392.43
19990819,12422.31
19990820,12680.69
19990823,13319.80
19990824,13499.62
19990825,13328.17
19990826,12907.00
19990827,12580.46
19990830,14808.45
19990831,14641.12
19990901,14275.09
19990902,13923.92
19990903,13366.97
19990906,13366.97
19990907,14052.69
19990908,13333.19
19990909,15234.51
19990910,13971.57
19990913,14506.68
19990914,13798.75
19990915,15262.80
19990916,14811.02
19990917,15049.48
19990920,15124.73
19990921,14884.24
19990922,15164.07
19990923,14707.63
19990924,14375.24
19990927,15160.12
19990928,17984.45
19990929,18390.90
19990930,18390.90
19991001,18206.99
19991004,17682.63
19991005,17790.50
19991006,17021.95
19991007,16809.17
19991008,16059.48
19991011,15645.15
19991012,15565.36
19991013,18328.21
19991014,17043.40
19991015,17631.40
19991018,16090.42
19991019,15451.63
19991020,15059.15
19991021,15182.64
19991022,14772.71
19991025,14579.19
19991026,13955.20
19991027,13338.38
19991028,13156.98
19991029,13579.31
19991101,13861.76
19991102,13545.72
19991103,13223.33
19991104,13095.06
19991105,13076.73
19991108,12560.20
19991109,12455.95
19991110,13316.65
19991111,13247.41
19991112,14026.35
19991115,13205.81
19991116,13649.53
19991117,13716.41
19991118,13927.64
19991119,13863.58
19991122,13309.03
19991123,13213.21
19991124,13546.18
19991125,13546.18
19991126,14101.57
19991129,14104.40
19991130,14655.88
19991201,14169.30
19991202,14965.62
19991203,14953.64
19991206,13866.51
19991207,13644.65
19991208,14099.02
19991209,14278.07
19991210,14128.15
19991213,14797.83
19991214,14276.95
19991215,15177.82
19991216,15545.12
19991217,15055.45
19991220,14793.49
19991221,14568.63
19991222,14418.57
19991223,14221.04
19991224,14221.04
19991227,14289.30
19991228,15020.91
19991229,14564.27
19991230,13924.90
19991231,13924.90
20000103,13924.90
20000104,12713.43
20000105,13234.69
20000106,12396.93
20000107,11929.57
20000110,11792.38
20000111,13022.32
20000112,13911.74
20000113,13551.43
20000114,14303.54
20000117,14303.54
20000118,14965.79
20000119,16109.18
20000120,16308.93
20000121,16204.55
20000124,15428.35
20000125,15809.43
20000126,14410.30
20000127,14542.87
20000128,13655.76
20000131,13621.62
20000201,13471.78
20000202,13056.85
20000203,12453.62
20000204,13382.66
20000207,12779.11
20000208,12060.92
20000209,12461.34
20000210,13561.68
20000211,13085.66
20000214,13843.32
20000215,13021.03
20000216,13239.78
20000217,13206.68
20000218,14502.26
20000221,14502.26
20000222,14442.80
20000223,13977.74
20000224,13752.70
20000225,14323.44
20000228,14774.63
20000229,14390.49
20000301,14085.41
20000302,14102.31
20000303,13793.47
20000306,13604.50
20000307,13646.67
20000308,13564.79
20000309,12989.65
20000310,13316.99
20000313,13002.70
20000314,12477.40
20000315,12261.54
20000316,11594.51
20000317,12098.87
20000320,11622.17
20000321,11271.18
20000322,10705.37
20000323,10375.65
20000324,9789.42
20000327,9691.53
20000328,9731.26
20000329,9175.61
20000330,9349.03
20000331,10268.97
20000403,9368.38
20000404,9595.10
20000405,9542.32
20000406,10133.95
20000407,10119.76
20000410,10156.19
20000411,9875.88
20000412,10184.01
20000413,10734.96
20000414,11423.07
20000417,12171.29
20000418,11066.13
20000419,10642.30
20000420,10575.25
20000421,10575.25
20000424,10941.16
20000425,10049.45
20000426,10130.85
20000427,9956.60
20000428,12397.96
20000501,11261.07
20000502,10524.60
20000503,10240.43
20000504,10910.16
20000505,11378.20
20000508,10974.27
20000509,10814.05
20000510,11621.86
20000511,11673.00
20000512,12283.49
20000515,12438.27
20000516,12976.84
20000517,13747.67
20000518,13912.64
20000519,13516.13
20000522,13224.18
20000523,14114.17
20000524,14488.19
20000525,14676.54
20000526,14271.47
20000529,14271.47
20000530,14254.34
20000531,13883.73
20000601,13593.56
20000602,13490.25
20000605,13676.41
20000606,14360.23
20000607,14113.24
20000608,13847.91
20000609,14195.49
20000612,14451.01
20000613,14595.52
20000614,15209.99
20000615,14732.40
20000616,14412.70
20000619,14167.69
20000620,14007.59
20000621,14716.38
20000622,14563.33
20000623,14266.24
20000626,13978.06
20000627,13845.27
20000628,13752.50
20000629,14089.44
20000630,14410.68
20000703,15577.94
20000704,15577.94
20000705,15147.99
20000706,15873.58
20000707,15684.69
20000710,14470.69
20000711,13961.32
20000712,14759.91
20000713,15012.30
20000714,14170.11
20000717,15169.11
20000718,15490.69
20000719,14874.16
20000720,13916.27
20000721,14694.19
20000724,15248.16
20000725,15303.05
20000726,15157.67
20000727,15221.33
20000728,15050.85
20000731,14928.94
20000801,14969.25
20000802,14738.72
20000803,15363.65
20000804,15655.56
20000807,15309.57
20000808,15060.02
20000809,15325.08
20000810,15121.26
20000811,14242.71
20000814,14856.57
20000815,14494.07
20000816,13778.06
20000817,13823.53
20000818,14174.65
20000821,14157.64
20000822,14377.08
20000823,14781.08
20000824,14154.36
20000825,14494.07
20000828,14363.62
20000829,15897.65
20000830,15902.42
20000831,15904.01
20000901,16008.98
20000904,16008.98
20000905,16907.08
20000906,16156.41
20000907,16576.48
20000908,16997.52
20000911,17057.01
20000912,17418.62
20000913,17643.32
20000914,17196.94
20000915,16928.67
20000918,16491.91
20000919,16879.47
20000920,16867.65
20000921,16781.63
20000922,14969.21
20000925,14422.84
20000926,13212.76
20000927,13200.87
20000928,13075.46
20000929,12796.95
20001002,12917.25
20001003,12812.62
20001004,12485.89
20001005,12455.93
20001006,12677.64
20001009,12458.32
20001010,11783.08
20001011,12125.97
20001012,11132.85
20001013,11147.32
20001016,12002.32
20001017,12289.18
20001018,11784.09
20001019,11588.48
20001020,12025.36
20001023,11990.49
20001024,11527.66
20001025,12165.14
20001026,13227.15
20001027,13161.02
20001030,13733.52
20001031,12715.87
20001101,12857.01
20001102,11989.16
20001103,11202.67
20001106,11424.49
20001107,11331.95
20001108,11380.68
20001109,11046.08
20001110,11370.84
20001113,11643.74
20001114,11625.11
20001115,12094.76
20001116,12435.84
20001117,11943.38
20001120,12241.96
20001121,12294.60
20001122,13174.90
20001123,13174.90
