Date,oprc,hprc,lprc,cprc,Settle,tvol,oint,padj,futc
13/11/2013,1.202225464,1.202420551,1.20105494,1.201347571,1.201347571,412.1231955,12631.26839,0.975436482,921694
14/11/2013,1.202030377,1.203298444,1.201737746,1.202518095,1.202518095,418.274288,12467.23926,0.975436482,921694
15/11/2013,1.203005813,1.204566512,1.202323008,1.20398125,1.20398125,313.705716,12450.83634,0.975436482,921694
18/11/2013,1.203883706,1.204078793,1.201250028,1.202810726,1.202810726,439.8031116,12385.22469,0.975436482,921694
19/11/2013,1.20212792,1.203298444,1.201932833,1.202810726,1.202810726,260.3962479,12353.44404,0.975436482,921694
20/11/2013,1.203298444,1.203395988,1.200274591,1.201640202,1.201640202,645.8647094,12414.95497,0.975436482,921694
21/11/2013,1.201347571,1.202030377,1.200274591,1.201347571,1.201347571,375.2166407,12439.55934,0.975436482,921694
22/11/2013,1.200957397,1.20183529,1.198226175,1.19890898,1.19890898,630.4869782,12360.62032,0.975436482,921694
25/11/2013,1.198518806,1.202518095,1.198518806,1.20212792,1.20212792,464.4074815,12179.16309,0.975436482,921694
26/11/2013,1.202030377,1.202615639,1.199689329,1.199884417,1.199884417,438.7779295,12274.50502,0.975436482,921694
27/11/2013,1.200177048,1.202713182,1.199884417,1.201932833,1.201932833,683.7964463,12214.01928,0.975436482,921694
28/11/2013,1.201932833,1.201932833,1.201932833,1.201932833,1.201932833,0,12214.01928,0.975436482,921694
